Module Name,Module Type,Port Name,Direction,Width,Index,Comment Source,Comment 
dcim_wrapper,Top_Level,clk,INPUT,1,-,-,-
dcim_wrapper,Top_Level,rstn,INPUT,1,-,-,-
dcim_wrapper,Top_Level,axi_req_i,INPUT,1,-,-,-
dcim_wrapper,Top_Level,axi_we_i,INPUT,1,-,-,-
dcim_wrapper,Top_Level,axi_addr_i,INPUT,64,[63:0],-,-
dcim_wrapper,Top_Level,axi_wdata_i,INPUT,64,[63:0],-,-
dcim_wrapper,Top_Level,axi_be_i,INPUT,8,[7:0],-,-
dcim_wrapper,Top_Level,axi_rdata_o,OUTPUT,64,[63:0],-,-
rf64x64,Black Box,clk,INPUT,1,-,-,-
rf64x64,Black Box,cen,INPUT,1,-,-,-
rf64x64,Black Box,gwen,INPUT,1,-,-,-
rf64x64,Black Box,wen,INPUT,64,-,-,-
rf64x64,Black Box,a,INPUT,6,-,-,-
rf64x64,Black Box,d,INPUT,64,-,-,-
rf64x64,Black Box,q,INPUT,64,-,-,-
rf64x64,Black Box,ema,INPUT,3,-,-,-
rf64x64,Black Box,emaw,INPUT,2,-,-,-
rf64x64,Black Box,emas,INPUT,1,-,-,-
rf64x64,Black Box,ret1n,INPUT,1,-,-,-
rf64x128,Black Box,clk,INPUT,1,-,-,-
rf64x128,Black Box,cen,INPUT,1,-,-,-
rf64x128,Black Box,gwen,INPUT,1,-,-,-
rf64x128,Black Box,wen,INPUT,128,-,-,-
rf64x128,Black Box,a,INPUT,6,-,-,-
rf64x128,Black Box,d,INPUT,128,-,-,-
rf64x128,Black Box,q,INPUT,128,-,-,-
rf64x128,Black Box,ema,INPUT,3,-,-,-
rf64x128,Black Box,emaw,INPUT,2,-,-,-
rf64x128,Black Box,emas,INPUT,1,-,-,-
rf64x128,Black Box,ret1n,INPUT,1,-,-,-
rf128x128,Black Box,clk,INPUT,1,-,-,-
rf128x128,Black Box,cen,INPUT,1,-,-,-
rf128x128,Black Box,gwen,INPUT,1,-,-,-
rf128x128,Black Box,wen,INPUT,128,-,-,-
rf128x128,Black Box,a,INPUT,7,-,-,-
rf128x128,Black Box,d,INPUT,128,-,-,-
rf128x128,Black Box,q,INPUT,128,-,-,-
rf128x128,Black Box,ema,INPUT,3,-,-,-
rf128x128,Black Box,emaw,INPUT,2,-,-,-
rf128x128,Black Box,emas,INPUT,1,-,-,-
rf128x128,Black Box,ret1n,INPUT,1,-,-,-
